Y,X1,X2,X3,X4,X5,X6
208500,7,1710,2,856,65.0,WD
181500,6,1262,2,1262,80.0,WD
223500,7,1786,2,920,68.0,WD
140000,7,1717,3,756,60.0,WD
250000,8,2198,3,1145,84.0,WD
143000,5,1362,2,796,85.0,WD
307000,8,1694,2,1686,75.0,WD
200000,7,2090,2,1107,,WD
129900,7,1774,2,952,51.0,WD
118000,5,1077,1,991,50.0,WD
129500,5,1040,1,1040,70.0,WD
345000,9,2324,3,1175,85.0,New
144000,5,912,1,912,,WD
279500,7,1494,3,1494,91.0,New
157000,6,1253,1,1253,,WD
132000,7,854,2,832,51.0,WD
149000,6,1004,2,1004,,WD
90000,4,1296,2,0,72.0,WD
159000,5,1114,2,1114,66.0,WD
139000,5,1339,1,1029,70.0,COD
325300,8,2376,3,1158,101.0,New
139400,7,1108,1,637,57.0,WD
230000,8,1795,2,1777,75.0,WD
129900,5,1060,2,1040,44.0,WD
154000,5,1060,1,1060,,WD
256300,8,1600,3,1566,110.0,WD
134800,5,900,2,900,60.0,WD
306000,8,1704,3,1704,98.0,WD
207500,5,1600,1,1484,47.0,WD
68500,4,520,1,520,60.0,WD
40000,4,1317,1,649,50.0,WD
149350,5,1228,1,1228,,WD
179900,8,1234,2,1234,85.0,WD
165500,5,1700,2,1398,70.0,WD
277500,9,1561,2,1561,60.0,WD
309000,8,2452,3,1117,108.0,WD
145000,5,1097,2,1097,112.0,WD
153000,5,1297,2,1297,74.0,WD
109000,5,1057,1,1057,68.0,WD
82000,4,1152,0,0,65.0,WD
160000,6,1324,2,1088,84.0,WD
170000,5,1328,1,1350,115.0,WD
144000,5,884,2,840,,WD
130250,5,938,1,938,,WD
141000,5,1150,1,1150,70.0,WD
319900,9,1752,2,1752,61.0,WD
239686,7,2149,2,1434,48.0,WD
249700,8,1656,3,1656,84.0,WD
113000,4,1452,0,736,33.0,New
127000,5,955,1,955,66.0,WD
177000,6,1470,2,794,,WD
114500,6,1176,2,816,52.0,WD
110000,5,816,2,816,110.0,WD
385000,9,1842,3,1842,68.0,WD
130000,5,1360,2,384,60.0,WD
180500,6,1425,2,1425,100.0,WD
172500,8,1739,2,970,24.0,WD
196500,7,1720,2,860,89.0,WD
438780,10,2945,3,1410,66.0,New
124900,5,780,1,780,60.0,WD
158000,6,1158,2,1158,63.0,New
101000,5,1111,1,530,60.0,WD
202500,8,1370,2,1370,44.0,WD
140000,7,1710,2,576,50.0,WD
219500,7,2034,2,1057,,WD
317000,8,2473,3,1143,76.0,WD
180000,7,2207,2,1947,,WD
226000,7,1479,2,1453,72.0,WD
80000,4,747,1,747,47.0,WD
225000,7,2287,2,1304,81.0,WD
244000,7,2223,2,2223,95.0,WD
129500,4,845,2,845,69.0,WD
185000,7,1718,2,832,74.0,WD
144900,5,1086,2,1086,85.0,WD
107400,3,1605,1,840,60.0,WD
91000,4,988,1,462,21.0,WD
135750,4,952,1,952,,WD
127000,5,1285,1,672,50.0,WD
136500,4,1768,0,1768,72.0,WD
110000,5,1230,2,440,60.0,WD
193500,6,2142,1,896,100.0,WD
153500,6,1337,2,1237,32.0,WD
245000,8,1563,3,1563,78.0,WD
126500,5,1065,2,1065,80.0,COD
168500,7,1474,2,384,,WD
260000,8,2417,2,1288,121.0,WD
174000,6,1560,2,684,122.0,WD
164500,6,1224,2,612,40.0,New
85000,3,1526,0,1013,105.0,ConLD
123600,4,990,0,990,60.0,WD
109900,4,1040,2,0,60.0,WD
98600,5,1235,2,1235,85.0,WD
163500,5,964,2,876,80.0,WD
133900,6,2291,2,1214,60.0,WD
204750,6,1786,2,824,69.0,WD
185000,6,1470,2,680,,WD
214000,7,1588,2,1588,78.0,WD
94750,4,960,1,960,73.0,WD
83000,5,835,1,458,85.0,COD
